,메뉴,가격
0,숯불 직화 닭갈비(간장맛),"6,900"
1,숯불 직화 닭갈비(고추장맛),"6,900"
2,숯불 직화 닭갈비 덮밥(간장맛),"5,900"
3,소확행 제육 도시락,"2,900"
4,소확행 스팸 도시락,"2,900"
5,멘치카츠,"2,800"
6,스페셜 하이라이스,"5,900"
7,송정식 떡갈비 Ⅱ,"6,900"
8,이남장 설렁탕,"7,900"
9,제육돈까스 도련님,"4,900"
10,사골 조랭이떡 만둣국,"5,900"
11,해바라기,"10,000"
12,매화,"10,500"
13,진달래,"8,000"
14,개나리,"8,700"
15,돈까스도련님 고기고기,"6,600"
16,탕수육도련님 고기고기,"6,100"
17,새치 고기고기,"7,100"
18,돈치 고기고기,"6,100"
19,카츠카츠,"4,900"
20,숯불직화구이,"6,800"
21,소불고기,"5,700"
22,메가치킨제육,"7,800"
23,칠리 찹쌀탕수육도련님,"4,500"
24,동백,"6,200"
25,치킨제육,"5,000"
26,돈까스도련님,"4,900"
27,제육볶음,"4,700"
28,돈치스팸,"5,000"
29,송정식 떡갈비,"6,900"
30,제육 김치찌개 정식,"8,800"
31,제육 김치 부대찌개 정식,"9,200"
32,돈치스팸 김치 부대찌개 정식,"9,200"
33,빅치킨마요 김치 부대찌개 정식,"8,200"
34,치킨마요 김치 부대찌개 정식,"7,600"
35,빅치킨마요 김치찌개 정식,"7,700"
36,치킨마요 김치찌개 정식,"7,100"
37,빅새치마요,"4,700"
38,새치마요,"4,100"
39,메가스팸마요,"5,900"
40,스팸마요,"4,000"
41,메가치킨마요,"6,200"
42,왕치킨마요,"5,100"
43,빅치킨마요,"4,400"
44,치킨마요,"3,800"
45,참치마요,"3,600"
46,돈치마요,"4,100"
47,돈까스 카레,"4,800"
48,잡채볶음밥(중화풍 매운맛),"5,500"
49,잡채볶음밥(오리지널),"5,300"
50,스팸 김치볶음밥,"4,900"
51,김치볶음밥,"4,100"
52,스팸 철판볶음밥,"4,900"
53,소불고기 철판볶음밥,"5,100"
54,나시고랭,"6,300"
55,묵은지 김치찌개,"5,000"
56,김치 부대찌개,"6,100"
57,핫 치즈 닭갈비덮밥,"6,000"
58,오리지널 치즈 닭갈비덮밥,"6,000"
59,숯불직화구이 덮밥,"6,000"
60,마파두부 덮밥,"5,000"
61,왕카레돈까스덮밥,"6,100"
62,새우돈까스 덮밥,"4,400"
63,돈까스 덮밥,"4,300"
64,아보카도 소불고기 명란 비빔밥,"6,700"
65,소불고기 감초고추장 비빔밥,"5,600"
66,시골제육 두부강된장 비빔밥,"5,400"
67,참치야채 감초고추장 비빔밥,"3,700"
68,튼튼도시락,"5,200"
69,반찬 묵은지김치찌개,"4,400"
70,반찬 카레,"2,900"
71,반찬 순살 고등어 간장구이,"3,900"
72,반찬 김치 부대찌개,"4,900"
73,반찬 치킨,"3,800"
74,반찬 고기고기,"3,600"
75,반찬 돈까스도련님,"4,100"
76,반찬 제육볶음,"3,500"
77,반찬 토네이도 소세지,"3,200"
78,반찬 돈까스,"2,900"
79,치즈버터 해시 포테이토 스틱,"2,200"
80,허니버터 해시 포테이토 스틱,"2,200"
81,해시 포테이토 스틱,"2,000"
82,뉴 감자고로케,"2,700"
83,미니 찹쌀핫도그,"2,800"
84,미니 찹쌀탕수육,"2,300"
85,케이준후라이,"1,900"
86,통현미 닭강정(소),"3,500"
87,통현미 닭강정(중),"8,500"
88,후라이드 순살(중),"7,500"
89,후라이드 순살(소)_양념치킨소스,"4,000"
90,후라이드 순살(소)_케이준소스,"4,000"
91,3종 미니반찬B,"1,300"
92,3종 미니반찬A,"1,300"
93,오징어젓갈,600
94,한솥 두부강된장소스,"1,800"
95,한솥 감초볶음고추장소스,500
96,볶음김치,500
97,김치,400
98,무말랭이 무침,500
99,한솥밥,"1,000"
100,현미밥,"1,700"
101,리얼꿀 미니호떡,"2,200"
